"","plot_keywords","genre","usa_gross_income","budget","language","country","avg_vote","reviews_from_critics","date_published","year","title_and_year"
"1259","alopecia|belfast northern ireland|ireland|irish republican army|scalper","Comedy","$ 75228","$ 14000000","English","USA",6.3,35,"2001-03-23","2001","An Everlasting Piece (2001)"
"1260","canada|post apocalypse|road movie|vampire|vampire hunter","Drama, Horror, Sci-Fi","$ 33245","$ 650000","English","USA",6.5,221,"2011-06-17","2011","Stake Land (2011)"
"1261","countryside|marriage|maryland|usa|wedding","Comedy, Drama","$ 8464","$ 4000000","English","USA",6.1,45,"2011-12-08","2011","Another Happy Day (2011)"
"1262","dance|dancer|dancing|desert|iran","Biography, Drama, Music","$ 155271","$ 4000000","English","UK, United Arab Emirates, Romania, Morocco",6.2,32,"2016-04-22","2016","Desert Dancer (2016)"
"1263","latina|south central los angeles","Drama","$ 41914","","English","USA",6.4,1,"2009-09-01","2009","Down for Life (2009)"
"1264","accidental shooting|bird|crow|exploding animal|muslim","Comedy, Crime, Drama","$ 304616","","English, Urdu, Arabic","UK, France",7.3,251,"2011-06-03","2011","Four Lions (2011)"
"1265","gun running|organized crime|pimp|superhero|vigilante","Comedy, Crime, Drama","$ 44462","$ 3500000","English, Russian","Canada, USA, UK",6.8,65,"2010-05-13","2010","Defendor (2010)"
"1266","bar|bartender|death|heart attack|mentor protege relationship","Comedy, Drama","$ 20930","$ 3800000","English, German","Iceland, Denmark, USA, France, Germany",6.9,64,"2010-03-17","2010","The Good Heart (2010)"
"1267","based on sketch comedy|corporation|cult film|evil corporation|sex","Action, Adventure, Comedy","$ 3313583","$ 7000000","English","USA",5.3,33,"2001-06-29","2001","Pootie Tang (2001)"
"1268","1520s|aztec|indian|spanish colonization|spanish conquest","Drama, History","$ 894410","$ 3500000","Spanish, Nahuatl","Mexico",6.7,40,"1999-04-01","1999","La otra conquista (1999)"
"1269","bear|cameraman|hunter|secret government agency|troll","Drama, Fantasy, Horror","$ 253444","NOK 19900000","Norwegian, English","Norway",7,356,"2010-10-29","2010","Trollhunter (2010)"
"1270","erectile dysfunction|mugger|mugging|subway robbery|therapy","Comedy, Romance","$ 221096","$ 3500000","English","USA",6.5,29,"2008-05-09","2008","Ira & Abby (2008)"
"1271","love|michigan|musician|novelist|student","Comedy, Drama","$ 107492","$ 3500000","English","USA",6.3,53,"2006-06-15","2006","Winter Passing (2006)"
"1272","","Action, Biography, Crime","$ 182695","$ 3500000","English","Canada",4.7,12,"2016-01-22","2016","The Masked Saint (2016)"
"1273","bar|box office flop|dance|one word title|voice over narration","Action, Comedy, Crime","$ 9871","$ 3500000","English, Russian","USA",5.1,6,"1998-05-01","1998","Taxman (1998)"
"1274","capital management|financial crisis|financial disaster|investment fraud|management","Drama, Thriller","$ 5354039","$ 3500000","English","USA",7.1,304,"2012-05-18","2012","Margin Call (2012)"
"1275","apartment|gay parent|job interview|male pubic hair|pubic hair","Comedy, Drama, Romance","$ 69081","","English","UK, USA",6,12,"1996-04-19","1996","August (1996)"
"1276","conservatory|drummer|emotional abuse|music school|obsession","Drama, Music","$ 13092000","$ 3300000","English","USA",8.5,583,"2015-02-12","2015","Whiplash (2015)"
"1277","coming of age|male frontal nudity|male nudity|photographer|slum","Crime, Drama","$ 7564459","BRL 3300000","Portuguese","Brazil, France, Germany",8.6,225,"2003-05-09","2003","City of God (2003)"
"1278","friday|friend|hip hop|techno rave|weekend","Comedy, Music","$ 104257","GBP 2200000","English","UK, Ireland",7.1,44,"2000-03-10","2000","Human Traffic (2000)"
"1279","dead girl|girl|granddaughter|morgue|storage unit","Crime, Drama, Mystery","$ 19875","","English","USA",6.6,81,"2007-04-26","2007","The Dead Girl (2007)"
"1280","deer|gun|gunshot|hunt|kindergarten teacher","Action, Horror, Thriller","$ 5812500","$ 14000000","English","USA",6.5,236,"2020-03-24","2020","The Hunt (2020)"
"1281","inter cultural|latino|restaurant|soccer|train","Drama, Romance","$ 8070537","$ 3300000","English, Spanish","USA, Mexico",7.2,60,"2010-01-26","2010","Bella (2010)"
"1282","apartment|asperger's syndrome|children|teacher|writer","Comedy, Drama, Romance","$ 2277396","","English","USA",7.2,124,"2010-05-14","2010","Adam (2010)"
"1283","colombia|colombian|drug mule|money|stomach","Crime, Drama","$ 6529624","$ 3000000","Spanish, English","Colombia, Ecuador, USA",7.4,161,"2004-11-19","2004","Maria Full of Grace (2004)"
"1284","actress|cancer|death|french|gay relationship","Comedy, Drama, Romance","$ 5790894","$ 3200000","English, French","USA",7.2,173,"2011-12-09","2011","Beginners (2011)"
"1285","bar|bloody body of child|dead boy|monster|vomiting","Action, Comedy, Horror","$ 56131","$ 3200000","English","USA",6.3,57,"2007-01-18","2007","Feast (2007)"
"1286","drug culture|drugs|filthy toilet|heroin addict|heroin withdrawal","Drama","$ 16491080","GBP 1500000","English","UK",8.1,149,"1996-10-03","1996","Trainspotting (1996)"
"1287","california|carlsbad california|house|nanny|security camera","Horror","$ 84752907","$ 3000000","English, Spanish","USA",5.6,218,"2010-10-22","2010","Paranormal Activity 2 (2010)"
"1288","book|found footage|research|snuff film|writer","Horror, Mystery, Thriller","$ 48086903","$ 3000000","English","USA, UK, Canada",6.8,436,"2013-03-14","2013","Sinister (2013)"
"1289","alien|halloween|killer robot|outer space|wrestler costume","Adventure, Comedy, Sci-Fi","$ 15369573","$ 3000000","English","USA",5.4,34,"1990-04-27","1990","Spaced Invaders (1990)"
"1290","american west|bounty hunter|frontier|horse riding|outlaw","Action, Adventure, Drama","$ 229094","$ 2000000","English, French","UK, New Zealand",6.9,276,"2016-08-01","2016","Slow West (2016)"
"1291","cocaine|package|slow motion scene|topless female nudity|wrong address","Action, Comedy, Crime","$ 10027047","$ 3000000","English, French","USA",5.8,47,"2009-05-08","2009","Next Day Air (2009)"
"1292","apostrophe in title|bare breasts|female nudity|nude black woman|prom","Comedy","$ 9017070","$ 3000000","English","USA",5.4,16,"1999-05-12","1999","Trippin' (1999)"
"1293","friend|greece|greek|hotel room|twin","Drama, Romance","$ 8114627","$ 3000000","English, Greek, French","USA, Greece",7.9,440,"2013-10-31","2013","Before Midnight (2013)"
"1294","abuse|bishop|death|flashback|poverty","Drama","$ 6879730","","English","USA",6.7,17,"2004-10-22","2004","Woman Thou Art Loosed (2004)"
"1295","ashram|india|love|tradition|widow","Drama","$ 5529144","","Hindi, Sanskrit","Canada, India",7.7,93,"2006-09-22","2006","Water (2006)"
"1296","england|marriage|muslim|pakistani|salford","Comedy, Drama","$ 4177818","GBP 1900000","English, Urdu","UK",6.9,84,"1999-12-17","1999","East Is East (1999)"
"1297","apartment|first date|neighbor|new york|new york city","Comedy, Drama","$ 4033574","$ 3000000","English","USA",6.6,135,"2010-06-18","2010","Please Give (2010)"
"1298","andy warhol|art|artist|friendship|street artist","Biography, Drama","$ 3011195","$ 3300000","English, Spanish","USA",6.9,48,"1996-08-09","1996","Basquiat (1996)"
"1299","best friend|black and white|father daughter relationship|female protagonist|mother daughter relationship","Comedy, Drama, Romance","$ 4069826","","English, French","USA",7.5,349,"2014-09-11","2014","Frances Ha (2014)"
"1300","ensemble cast|episodic structure|satire|social satire|suburb","Comedy, Drama","$ 2982011","$ 2200000","English, Russian","USA",7.7,153,"1999-01-29","1999","Happiness (1999)"
"1301","canada|human becoming an animal|mad scientist|part of trilogy|walrus","Comedy, Drama, Horror","$ 1826705","$ 3000000","English","Canada, USA",5.3,277,"2014-09-19","2014","Tusk (2014)"
"1302","brother sister relationship|hypnosis|imprisonment|love|revenge","Action, Drama, Mystery","$ 707481","$ 3000000","Korean","South Korea",8.4,336,"2005-05-06","2005","Oldboy (2005)"
"1303","brother sister relationship|hypnosis|imprisonment|love|revenge","Action, Drama, Mystery","$ 2193658","$ 30000000","English","USA",5.7,264,"2013-12-05","2013","Oldboy (2013)"
"1304","cancer|faith|hope|letter|prayer","Drama, Family","$ 2848578","$ 3000000","English, Italian","USA",6.3,20,"2010-04-09","2010","Letters to God (2010)"
"1305","hobo|pedophile|rampage|shotgun|vigilante","Action, Comedy, Horror","$ 703372","$ 3000000","English","Canada",6.1,286,"2011-05-12","2011","Hobo with a Shotgun (2011)"
"1306","","Action, Comedy, Crime","$ 3127773","$ 3000000","English","Mexico",4.8,8,"2016-03-31","2016","Compadres (2016)"
"1307","15 year old|dancing|essex|little sister|suburb","Drama","$ 374675","$ 3000000","English","Netherlands, UK",7.3,249,"2010-07-23","2010","Fish Tank (2010)"
"1308","film in film|man with glasses|reference to steven spielberg|self referential|shopping mall","Comedy","$ 201436","$ 3000000","English","USA",5.4,83,"2012-01-27","2012","Tim and Eric's Billion Dollar Movie (2012)"
"1309","","Drama, History, War","$ 78948","$ 3000000","English","USA",5.9,8,"2014-08-15","2014","Fort McCoy (2014)"
"1310","blood splatter|chain|murder|mysterious killer|warning","Horror","$ 138788","$ 3000000","English","USA",4.1,61,"2010-11-11","2010","Chain Letter (2010)"
"1311","ghost|irish|kissing|novelist|widower","Drama, Horror, Romance","$ 133411","$ 3000000","English","Ireland",6.1,91,"2010-04-15","2010","The Eclipse (2010)"
"1312","independent film|spoof","Comedy","$ 4655","$ 3000000","English","USA",3.2,8,"2005-09-30","2005","My Big Fat Independent Movie (2005)"
"1313","criminal|gangster|money|revenge|violence","Action, Crime, Drama","$ 708215","$ 16000000","French","France",6.8,127,"2010-12-01","2010","Point Blank (2010)"
"1314","love|professor of history|radio|satyagraha|unscrupulous builder","Comedy, Drama, Romance","$ 2217562","INR 120000000","Hindi","India",8.1,15,"2006-09-01","2006","Lage Raho Munna Bhai (2006)"
"1315","convent|jew|jewish|nun|poland","Drama","$ 3827060","","Polish, Latin, French","Poland, Denmark, France, UK",7.4,291,"2014-03-13","2014","Ida (2014)"
"1316","baseball|baseball movie|beer|slacker|softball","Comedy, Sport","$ 472185","$ 2800000","English","USA",5.9,23,"2006-09-15","2006","Beer League (2006)"
"1317","binoculars|hitchcockian|scissors|time machine|woods","Horror, Mystery, Sci-Fi","$ 39127","$ 2600000","Spanish","Spain",7.2,183,"2008-06-27","2008","Timecrimes (2008)"
"1318","canadian gothic|hospital|murder|paranormal|supernatural","Drama, Horror, Thriller","$ 2014071","CAD 3200000","French","Canada",6.5,10,"2005-03-10","2005","Sur le seuil (2005)"
"1319","hospital|love|mennonite|shower|song","Drama","$ 1302067","$ 2500000","English","Canada, USA",6.9,67,"2000-08-25","2000","Jesus' Son (2000)"
"1320","arranged marriage|bangladesh|buckingham palace|september 11 2001|title directed by female","Drama","$ 1095398","","English, Bengali","UK, India",6.6,77,"2007-11-16","2007","Brick Lane (2007)"
"1321","burglary|dementia|near future|robot|thief","Comedy, Crime, Drama","$ 3325038","$ 2500000","English","USA",7.1,212,"2012-09-19","2012","Robot & Frank (2012)"
"1322","crying man|high school|high school senior|men's clothing store|party","Comedy, Drama, Romance","$ 6854611","$ 2500000","English","USA",7.1,233,"2013-09-13","2013","The Spectacular Now (2013)"
"1323","","Drama","$ 119290","$ 2500000","English","USA",5.6,3,"2006-04-24","2006","Valley of the Heart's Delight (2006)"
"1324","dissection|male pubic hair|medical school|medical student|train","Horror, Thriller","$ 9660","DEM 8400000","German, Latin","Germany",6.1,45,"2000-08-04","2000","Anatomy (2000)"
"1325","computer|future|mexican immigrant|network|wilhelm scream","Drama, Romance, Sci-Fi","$ 80136","$ 2500000","Spanish, English","Mexico",6,49,"2008-12-10","2008","Sleep Dealer (2008)"
"1326","bound with duct tape|flash forward|number|riddle|stalking","Drama, Horror, Mystery","$ 1008849","$ 2400000","English","Poland, USA, UK",5,25,"2007-01-05","2007","Thr3e (2007)"
"1327","experiment|future|hibernation|stupidity|top secret","Adventure, Comedy, Sci-Fi","$ 444093","","English","USA",6.6,130,"2007-08-03","2007","Idiocracy (2007)"
"1328","england|racism|racist|skinhead|violence","Crime, Drama","$ 329379","GBP 1500000","English","UK",7.7,174,"2011-08-26","2011","This Is England (2011)"
"1329","exclamation point in title|imperative in title|punctuation in title|three word title","Drama, Musical","$ 180237","$ 200000","English","USA",3.8,8,"2011-05-13","2011","Go for It! (2011)"
"1330","death of loved one|loss of father|loss of loved one|musician|singer","Drama","$ 29384","$ 2300000","English","USA",5.7,13,"2010-04-17","2010","Redemption Road (2010)"
"1331","bouquet|house fire|praying|serial killer|tied to a chair","Drama","$ 6092","$ 160000","English","USA",4.9,1,"2002-12-01","2002","The Calling (2002)"
"1332","1850s|christian film|dark secret|funeral|sin eater","Drama","$ 388390","$ 2200000","English","USA",5.6,18,"2007-02-09","2007","The Last Sin Eater (2007)"
"1333","belief|faith|pastor|question in title|three word title","Drama","$ 12985600","$ 2300000","English","USA",6.1,13,"2015-03-20","2015","Do You Believe? (2015)"
"1334","flare gun|island|plane crash|soccer team|stranded","Drama","$ 4210","","English","USA, Canada",5.8,9,"1998-03-27","1998","Eden (1998)"
"1335","flare gun|island|plane crash|soccer team|stranded","Drama","$ 15611","EUR 2000000","English","Ireland",5.9,13,"2008-05-30","2008","Eden (2008)"
"1336","flare gun|island|plane crash|soccer team|stranded","Biography, Drama, Music","$ 65460","","French, English","France",6.4,128,"2014-11-19","2014","Eden (2014)"
"1337","cruelty|friend|male frontal nudity|male nudity|pubic hair","Biography, Crime, Drama","$ 480811","","English","USA, France, UK",6.9,81,"2001-12-12","2001","Bully (2001)"
"1338","friendship|mental illness|poet|sex obsession|virgin","Comedy, Drama","$ 314729","NOK 15500000","Norwegian","Norway",7.5,73,"2002-11-22","2002","Elling (2002)"
"1339","ambiguous ending|being followed|sex scene|supernatural|supernatural being","Horror, Mystery, Thriller","$ 14674076","$ 1000000","English","USA",6.8,431,"2016-07-06","2016","It Follows (2016)"
"1340","drinking|female dressed as male|love|nebraska|transgender","Biography, Crime, Drama","$ 11540607","$ 2000000","English","USA",7.5,123,"2000-02-11","2000","Boys Don't Cry (2000)"
"1341","bound and gagged|girl|haunted house|hearing noises|uninterrupted shot","Drama, Horror, Mystery","$ 12754783","$ 2000000","English","USA, France",5.2,221,"2012-03-09","2012","Silent House (2012)"
"1342","family abandonment|fire|loss of father|native american protagonist|native american reservation","Comedy, Drama","$ 6745362","$ 2000000","English","USA",7.1,43,"1998-11-27","1998","Smoke Signals (1998)"
"1343","1980s|comic book|dark horse comics|reference to david letterman|robert crumb","Biography, Comedy, Drama","$ 6010990","","English","USA",7.4,196,"2003-09-12","2003","American Splendor (2003)"
"1344","fellatio|seven word title|shoe salesman|title directed by female|written by director","Comedy, Drama","$ 3885134","$ 2000000","English","USA, UK",7.3,155,"2005-12-09","2005","Me and You and Everyone We Know (2005)"
"1345","box office flop|critically bashed|male objectification|narcissism|wannabe dj","Drama, Music, Romance","$ 3591417","$ 2000000","English","UK, France, USA",6.2,169,"2015-09-17","2015","We Are Your Friends (2015)"
"1346","auto theft|based on true story|drug addict|kidnapping|violence","Action, Crime, Drama","$ 2583301","$ 2000000","English","USA, Mexico",5.4,47,"2015-09-18","2015","Captive (2015)"
"1347","birthday|friend|hollywood|party|sex","Comedy, Romance","$ 2512846","$ 2000000","English","USA",4.7,108,"2002-09-20","2002","Full Frontal (2002)"
"1348","jerusalem|journey|promised land|ship|wilderness","Adventure","$ 1680020","$ 1500000","English","USA",3,7,"2004-01-12","2004","The Book of Mormon Movie, Volume 1: The Journey (2004)"
"1349","desert|oregon|survival|trust|water","Drama, Western","$ 977772","$ 2000000","English","USA",6.5,207,"2011-04-15","2011","Meek's Cutoff (2011)"
"1350","detective|food|gangster|police|restaurant","Crime, Drama, Romance","$ 634566","","English, Italian, French","USA",7.3,43,"2002-03-29","2002","Dinner Rush (2002)"
"1351","office|office politics|photo booth|snobbery|title directed by female","Comedy, Drama","$ 537948","","English","UK, USA",6.5,43,"1998-05-15","1998","Clockwatchers (1998)"
"1352","masturbation|porn star|sex lesson from a prostitute|spreadeagle|topless","Comedy","$ 636706","$ 2000000","English","USA",4.6,44,"2010-09-24","2010","The Virginity Hit (2010)"
"1353","artist|butchery|catholic|catholic school|friend","Comedy, Drama","$ 388532","$ 6000000","English, French","USA",6.9,31,"2005-04-29","2005","House of D (2005)"
"1354","boy|guitar|orphan|rock 'n' roll|sword","Action, Adventure, Comedy","$ 146125","$ 2000000","English","USA",6.7,43,"1998-09-18","1998","Six-String Samurai (1998)"
"1355","elevator|news reporter|police|restaurant|waiter","Action, Comedy, Romance","$ 75446","","Hindi","India",2.8,1,"2000-05-26","2000","Hum To Mohabbat Karega (2000)"
"1356","deafness|disappearance|ears|ibiza|musician","Biography, Comedy, Drama","$ 120620","$ 2000000","English","UK, Canada",7.3,54,"2005-05-27","2005","It's All Gone Pete Tong (2005)"
"1357","city name in title|male frontal nudity|place name in title","Comedy, Drama","$ 102645","$ 3800000","English","USA",5.7,39,"2009-06-10","2009","Saint John of Las Vegas (2009)"
"1358","box office flop|critically bashed|gay rights|new york city|stonewall riots","Comedy, Drama, Romance","$ 692400","","English","UK, USA",6.9,20,"1995-09-02","1995","Stonewall (1995)"
"1359","box office flop|critically bashed|gay rights|new york city|stonewall riots","Drama, History","$ 187674","$ 13500000","English","USA",5.2,83,"2016-05-05","2016","Stonewall (2016)"
"1360","india|love|love at first sight|mumbai india|reference to edward scissorhands","Animation, Adventure, Comedy","$ 55202","","Hindi, English","India, USA",5.2,7,"2008-10-24","2008","Roadside Romeo (2008)"
"1361","cave|cobra|island|medallion|waterfall","Adventure, Family, Fantasy","$ 549632","","English","Thailand",4.8,11,"2013-10-03","2013","The Lost Medallion: The Adventures of Billy Stone (2013)"
"1362","based on play|number in title","Comedy, Drama, Musical","$ 145427","$ 3500000","English","USA",5.9,82,"2015-02-12","2015","The Last Five Years (2015)"
"1363","cellphone|detective|missing person|private detective|train","Drama","$ 17896","","English, Spanish","USA",6.1,67,"2009-12-03","2009","The Missing Person (2009)"
"1364","bar|coke|drugs|party|snorting","Drama, Romance","$ 20361","GBP 14000","English","UK, USA",6.5,31,"2006-06-06","2006","London (2006)"
"1365","ex convict|halfway house|nipples visible through clothing|orgasm|parole officer","Drama","$ 199176","$ 2000000","English","USA",6.6,79,"2007-02-09","2007","Sherrybaby (2007)"
"1366","alien abduction|debate|lesbian|pregnant|spaceship","Horror, Thriller","$ 10024","$ 2000000","English","USA",3.3,10,"2010-09-11","2010","Circle (2010)"
"1367","camping|forest|lake|stabbed with glass|vomiting","Horror, Thriller","$ 7321","","English","UK",6.8,173,"2008-09-12","2008","Eden Lake (2008)"
"1368","gay interest|guitarist|obsessed fan|seduction|sex scene","Drama, Thriller","$ 3080","","English","USA",5.3,19,"2013-10-15","2013","Plush (2013)"
"1369","alibi|box office flop|newspaper clipping|non statutory female on male rape|profiler","Crime, Drama, Mystery","$ 1100","$ 2000000","English","UK, Ireland",6.4,24,"2004-06-18","2004","Freeze Frame (2004)"
"1370","","Thriller","$ 16000","","English, Chinese","USA, Hong Kong",4.8,19,"2012-11-08","2012","Supercapitalist (2012)"
"1371","1990s|homoeroticism|reference to kurt cobain|road trip|year 1994","Crime, Drama, Romance","$ 529136","","Hindi","India",7.6,32,"2014-02-21","2014","Highway (2014)"
"1372","1950s|independent film|outlaw|trial","Comedy, Fantasy, Musical","$ 2436","$ 2000000","English","USA",5.6,90,"2012-03-03","2012","The Ghastly Love of Johnny X (2012)"
"1373","christmas tree|french canadian|new york|salesman","Comedy, Drama","$ 4556","","English","USA",5.6,42,"2013-09-10","2013","All Is Bright (2013)"
"1374","boy|caretaker|dam|evacuation|orphanage","Drama, Fantasy","$ 1420578","$ 1900000","English","USA",6.3,62,"2003-08-01","2003","Northfork (2003)"
"1375","15 year old|school|teen comedy|teen movie|virginity","Comedy, Drama, Romance","$ 467602","","English","UK, USA",7.3,255,"2011-03-18","2011","Submarine (2011)"
"1376","","Crime, Drama, Thriller","$ 406116","","English","Australia",6.7,86,"2008-07-31","2008","The Square (2008)"
"1377","","Comedy, Drama","$ 1502347","","Swedish, English, Danish","Sweden, Germany, France, Denmark, USA",7.2,270,"2017-11-09","2017","The Square (2017)"
"1378","","Drama, Music","$ 222098","","Hindi","India",6.3,15,"2013-02-08","2013","ABCD (Any Body Can Dance) (2013)"
"1379","basketball|burglary|police|robbery|teenage girl","Drama","$ 478595","$ 1900000","English","USA",6.6,9,"2015-04-24","2015","Brotherly Love (2015)"
"1380","1960s|childhood|friendship|love|the beatles","Biography, Drama, Music","$ 1457248","","English, French","UK, Canada",7.1,209,"2009-12-25","2009","Nowhere Boy (2009)"
"1381","doctor|mountain|musician|song|university","Drama, Music","$ 3059834","$ 1800000","English","USA",7.2,39,"2001-07-27","2001","Songcatcher (2001)"
"1382","1960s|belief in the afterlife|domestic violence|faith|minister","Drama","$ 841733","$ 2000000","English","USA",6.2,68,"2012-03-01","2012","Higher Ground (2012)"
"1383","","Comedy, Horror, Thriller","$ 21031","","English","USA",4.9,12,"2016-03-04","2016","A Beginner's Guide to Snuff (2016)"
"1384","ex boyfriend ex girlfriend relationship|gossip|inheritance|mansion|reference to howard university","Comedy, Drama","$ 13546","$ 5000000","English","USA",5,4,"2012-02-03","2012","Dysfunctional Friends (2012)"
"1385","case|doll|dry humor|friend|love","Comedy, Drama, Horror","$ 150277","$ 500000","English","USA",6.6,126,"2003-04-11","2003","May (2003)"
"1386","doctor|maine|only son|school choir|summer","Crime, Drama","$ 35930604","$ 1700000","English, Serbo-Croatian","USA",7.4,179,"2002-03-15","2002","In the Bedroom (2002)"
"1387","horror movie remake|rape|rape and revenge|rape victim|revenge","Horror, Thriller","$ 93051","$ 2000000","English","USA",6.3,234,"2011-01-20","2011","I Spit on Your Grave (2011)"
"1388","banker|beauty pageant|escaped convict|gay|pageant","Comedy, Crime, Romance","$ 1955933","$ 2500000","English","USA",6.3,78,"1999-12-17","1999","Happy, Texas (1999)"
"1389","female frontal nudity|lesbian relationship|summer|voyeurism|yorkshire","Drama, Romance","$ 1000915","GBP 1700000","English","UK",6.7,126,"2005-06-17","2005","My Summer of Love (2005)"
"1390","beach|lebanese|loss|muslim|restaurant","Drama, Romance","$ 396760","GBP 1000000","English","UK, USA",6.7,69,"2005-08-05","2005","Yes (2005)"
"1391","christianity|love|reference to justin bieber|reference to taylor swift|worship","Drama, Music","$ 2507201","","English","USA",6.1,16,"2014-09-01","2014","Grace Unplugged (2014)"
"1392","betrayal|family relationships|insecurity|murder|passive aggression","Crime, Drama, Thriller","$ 2595644","$ 1600000","English","USA",3.4,4,"2010-10-15","2010","N-Secure (2010)"
"1393","caramel|friendship|police|secret|suitor","Comedy, Drama, Romance","$ 1055580","EUR 1300000","Arabic, French","France, Lebanon",7.1,113,"2007-12-21","2007","Caramel (2007)"
"1394","","Drama, Romance","$ 129319","INR 70000000","English, Hindi","India",4.7,4,"2005-09-23","2005","Dil Jo Bhi Kahey... (2005)"
"1395","film student|marriage|mental breakdown|movie star|obsession","Drama, Mystery","$ 3264","$ 1650000","English","USA",5.3,20,"2008-07-02","2008","I Love Your Work (2008)"
"1396","female rear nudity|flesh eating virus|horror movie remake|remake|topless female nudity","Drama, Horror","$ 21158188","$ 1500000","English","USA",5.7,270,"2003-09-05","2003","Cabin Fever (2003)"
"1397","coming of age|marijuana|rape|virgin|weed","Drama","$ 7412216","$ 1500000","English","USA",7.1,77,"1997-02-21","1997","Kids (1997)"
"1398","friend|friendship|journalist|new york city|personal ad","Comedy, Drama, Romance","$ 7025722","$ 1000000","English","USA",6.4,112,"2002-09-20","2002","Kissing Jessica Stein (2002)"
"1399","bird|cult film|egg|nightclub|toronto","Drama","$ 4221036","CAD 2000000","English, Hebrew","Canada",7,47,"1994-10-21","1994","Exotica (1994)"
"1400","shower|stripper|tap dancing|underwear|undressing","Comedy, Drama, Romance","$ 2375097","$ 1500000","English","USA, Canada",7.5,75,"1998-06-02","1998","Buffalo '66 (1998)"
"1401","baby|boy|coma|demon|house","Horror, Mystery, Thriller","$ 54009150","$ 1500000","English","USA, Canada, UK",6.8,337,"2011-10-28","2011","Insidious (2011)"
"1402","bank|bastille day|call girl|childhood friend|drugs","Crime, Thriller","$ 418961","$ 1500000","English, French","France, USA",6.5,40,"1995-08-23","1995","Killing Zoe (1995)"
"1403","jew|jewish nazi|nazism|racism|skinhead","Drama","$ 416925","$ 1500000","English, Hebrew","USA",7.2,98,"2002-02-08","2002","The Believer (2002)"
"1404","flashback|football game|school|small town|snow","Crime, Drama, Romance","$ 402858","","English","USA",6.8,88,"2008-10-29","2008","Snow Angels (2008)"
"1405","","Action, Horror, Thriller","$ 510957","$ 1500000","English","USA",4.3,10,"2015-08-28","2015","Unsullied (2015)"
"1406","abandoned asylum|abandoned hospital|asbestos|lobotomy|multiple personality","Horror, Mystery","$ 378176","$ 1500000","English","USA",6.4,152,"2001-09-14","2001","Session 9 (2001)"
"1407","cheese|city|ice cream|school|second city","Comedy, Romance","$ 194568","$ 1500000","English","USA",6.1,31,"2006-04-28","2006","I Want Someone to Eat Cheese With (2006)"
"1408","one word title","Drama, Family","$ 369129","","English","USA",6.8,8,"2011-09-22","2011","Mooz-Lum (2011)"
"1409","bayou|boat|louisiana|swamp|tour","Comedy, Horror, Thriller","$ 175281","$ 1500000","English","USA",5.7,242,"2010-04-02","2010","Hatchet (2010)"
"1410","b movie|birthday|chinese|demon|small town","Comedy, Fantasy, Horror","$ 173066","$ 1500000","English","USA",6.2,108,"2008-12-05","2008","My Name Is Bruce (2008)"
"1411","","Comedy, Drama","$ 139084","$ 1500000","English","USA",4.1,14,"2005-01-01","2005","The Salon (2005)"
"1412","girl in panties|panties|red panties|stand up comedy","Comedy","$ 113169","$ 1500000","English","USA",6.1,14,"2015-03-06","2015","Road Hard (2015)"
"1413","love|music producer|previous marriage|rock 'n' roll|russian","Drama, Music, Romance","$ 75828","$ 1500000","English","USA",6.2,40,"2005-12-07","2005","Forty Shades of Blue (2005)"
"1414","american|filipino|friendship|guerrilla army|village","Drama, War","$ 184705","$ 1500000","English, Filipino","USA",5.8,33,"2011-07-06","2011","Amigo (2011)"
"1415","blood splatter|talk radio|virus|vomiting blood|zombie apocalypse","Fantasy, Horror, Thriller","$ 3865","$ 1500000","English, French, Armenian","Canada",6.6,198,"2009-09-18","2009","Pontypool (2009)"
"1416","cancer|cigarette smoking|hospital|one night stand|trucker","Drama","$ 52429","$ 2000000","English","USA",6.6,46,"2008-04-24","2008","Trucker (2008)"
"1417","boat|director|loch ness|loch ness monster|monster","Adventure, Comedy, Fantasy","$ 37493","$ 1400000","English","UK",6.5,56,"2004-09-17","2004","Incident at Loch Ness (2004)"
"1418","1970s|1980s|nonlinear timeline|rescue|vietnam war","Drama","$ 641039","$ 1300000","Vietnamese, English","USA",7.1,10,"2006-03-29","2006","Journey from the Fall (2006)"
"1419","basketball|german immigrant|opera|two word title|war orphan","Drama","$ 367098","$ 1300000","English, German","USA",6.3,14,"2000-05-05","2000","The Basket (2000)"
"1420","blaxploitation|hanukkah|jewish|kwanzaa|santa claus","Comedy","$ 82157","$ 2000000","English, Hebrew, Yiddish","USA",6.1,38,"2004-03-25","2004","The Hebrew Hammer (2004)"
"1421","interrupted sex|kiss|love|mistaken sex scene|sex in car","Comedy, Musical, Romance","$ 111551","CAD 1500000","English, Hindi, French","India",3.2,5,"2005-12-09","2005","Neal 'N' Nikki (2005)"
"1422","","Drama, Music","$ 2850357","$ 2000000","English","USA",5.7,16,"2013-04-19","2013","Filly Brown (2013)"
"1423","drugs|highway|police|state trooper|vermont","Comedy, Crime, Mystery","$ 18492362","$ 3000000","English, German, French","USA",7.1,106,"2003-08-08","2003","Super Troopers (2003)"
"1424","addiction|alcoholic|baseball|car accident|reference to god","Drama, Sport","$ 2861020","$ 1200000","English","USA",5.9,12,"2014-02-26","2014","Home Run (2014)"
"1425","church|college|color in title|philosophy|texas","Comedy, Drama","$ 595018","$ 1200000","English","USA",5.9,36,"2012-03-13","2012","Blue Like Jazz (2012)"
